playlist_name,playlist_owner,track_name,artist,album,duration,popularity
My Shazam Tracks,22auvhdoqxfrv4t7stdgfxqha,One Kiss (with Dua Lipa),Calvin Harris,One Kiss (with Dua Lipa),214846,86
My Shazam Tracks,22auvhdoqxfrv4t7stdgfxqha,h u n g e r . o n . h i l l s i d e (with Bas),J. Cole,The Off-Season,238971,63
My Shazam Tracks,22auvhdoqxfrv4t7stdgfxqha,Mr. Rager,Kid Cudi,Man On The Moon II: The Legend Of Mr. Rager,294213,72
My Shazam Tracks,22auvhdoqxfrv4t7stdgfxqha,Be Honest (feat. Burna Boy),Jorja Smith,Be Honest (feat. Burna Boy),207030,71
My Shazam Tracks,22auvhdoqxfrv4t7stdgfxqha,All The Stars (with SZA),Kendrick Lamar,Black Panther The Album Music From And Inspired By,232186,85
My Shazam Tracks,22auvhdoqxfrv4t7stdgfxqha,Me Porto Bonito,Bad Bunny,Un Verano Sin Ti,178567,89
My Shazam Tracks,22auvhdoqxfrv4t7stdgfxqha,The Moments I'm Missing - RANJI vs WHITENO1SE,Ranji,The Moments I'm Missing (RANJI vs WHITENO1SE),184347,56
My Shazam Tracks,22auvhdoqxfrv4t7stdgfxqha,This Is Not The End,Gareth Emery,"A State Of Trance Top 20 - 2022, Vol. 2 (Selected by Armin van Buuren)",198547,2
My Shazam Tracks,22auvhdoqxfrv4t7stdgfxqha,LA CANCIÃ“N,J Balvin,OASIS,242573,85
My Shazam Tracks,22auvhdoqxfrv4t7stdgfxqha,Sajan Das Na,Atif Aslam,Sajan Das Na,236674,55
My Shazam Tracks,22auvhdoqxfrv4t7stdgfxqha,To My Detriment,Kato On The Track,To My Detriment,176750,34
My Shazam Tracks,22auvhdoqxfrv4t7stdgfxqha,The Motion,Drake,Care Package,240956,64
My Shazam Tracks,22auvhdoqxfrv4t7stdgfxqha,Murder To Excellence,JAY-Z,Watch The Throne (Deluxe),300960,45
My Shazam Tracks,22auvhdoqxfrv4t7stdgfxqha,Johnny P's Caddy,Benny The Butcher,Johnny P's Caddy,225000,62
My Shazam Tracks,22auvhdoqxfrv4t7stdgfxqha,Problems,Petit Biscuit,Presence,219933,55
My Shazam Tracks,22auvhdoqxfrv4t7stdgfxqha,"Raataan Lambiyan (From ""Shershaah"")",Tanishk Bagchi,"Raataan Lambiyan (From ""Shershaah"")",230292,77
My Shazam Tracks,22auvhdoqxfrv4t7stdgfxqha,She Drives Me Crazy,Fine Young Cannibals,The Raw & The Cooked,215773,76
My Shazam Tracks,22auvhdoqxfrv4t7stdgfxqha,Army,Ben Folds Five,The Unauthorized Biography Of Reinhold Messner,203160,45
